Model,rmse,interval_length,coverage,mu_type,effect_type,sample_size
Horseshoe,2.14536647095925,1.95827774931545,0.0,nonlinear,heterogeneous,250
Horseshoe,2.48563853137059,2.15400427531341,0.0,nonlinear,heterogeneous,250
Horseshoe,1.87460299773682,1.59017983733021,0.0,nonlinear,heterogeneous,250
Horseshoe,3.99415274905561,1.8476313466969,0.0,nonlinear,heterogeneous,250
Horseshoe,2.81732502584173,1.75973707787131,0.0,nonlinear,heterogeneous,250
Horseshoe,1.60882398034114,2.03749898932042,0.0,nonlinear,heterogeneous,250
Horseshoe,2.55078378872011,1.79145366192746,0.0,nonlinear,heterogeneous,250
Horseshoe,2.77244868237017,1.64993349869725,0.0,nonlinear,heterogeneous,250
Horseshoe,2.2604209948754,1.7054954148693,0.0,nonlinear,heterogeneous,250
Horseshoe,2.48655154498783,1.86938155647913,0.0,nonlinear,heterogeneous,250
Horseshoe,1.46452496726407,1.86205506737546,0.0,nonlinear,heterogeneous,250
Horseshoe,2.21782385488046,1.83348357305897,0.0,nonlinear,heterogeneous,250
Horseshoe,2.76658373025982,2.08234974763045,0.0,nonlinear,heterogeneous,250
Horseshoe,2.55879129055943,1.87112905647858,0.0,nonlinear,heterogeneous,250
Horseshoe,1.95887656092793,1.94422151225932,0.0,nonlinear,heterogeneous,250
Horseshoe,2.37986137380168,1.90976061415546,0.0,nonlinear,heterogeneous,250
Horseshoe,2.65285575345454,1.76545721865339,0.0,nonlinear,heterogeneous,250
Horseshoe,3.2620291333092,1.91660678589808,0.0,nonlinear,heterogeneous,250
Horseshoe,2.77142325931335,1.75999028096982,0.0,nonlinear,heterogeneous,250
Horseshoe,2.31263123474522,1.66547398847911,0.0,nonlinear,heterogeneous,250
Horseshoe,3.36229850940201,1.74008496107672,0.0,nonlinear,heterogeneous,250
Horseshoe,1.67159472060919,1.90882727967203,0.0,nonlinear,heterogeneous,250
Horseshoe,3.0955136290379,1.96705633174458,0.0,nonlinear,heterogeneous,250
Horseshoe,1.92516827599803,2.10716466424217,0.0,nonlinear,heterogeneous,250
Horseshoe,2.72657661484392,1.91084268984373,0.0,nonlinear,heterogeneous,250
Horseshoe,3.32797071263587,1.81405020561396,0.0,nonlinear,heterogeneous,250
Horseshoe,2.1840413221496,1.82360538037475,0.0,nonlinear,heterogeneous,250
Horseshoe,0.844089450512579,1.82294927693345,1.0,nonlinear,heterogeneous,250
Horseshoe,1.9191582190056,1.79027164116816,0.0,nonlinear,heterogeneous,250
Horseshoe,2.30265419614692,2.05148451645863,0.0,nonlinear,heterogeneous,250
Horseshoe,3.22827505463658,1.93606146789854,0.0,nonlinear,heterogeneous,250
Horseshoe,2.54089410846699,2.01882358717548,0.0,nonlinear,heterogeneous,250
Horseshoe,1.64257958257766,1.88257773072491,0.0,nonlinear,heterogeneous,250
Horseshoe,1.81735062491135,1.82819509642952,0.0,nonlinear,heterogeneous,250
Horseshoe,2.47254351465589,2.04006971378318,0.0,nonlinear,heterogeneous,250
Horseshoe,3.0364538920336,2.0436308129373,0.0,nonlinear,heterogeneous,250
Horseshoe,3.01718015943068,1.84471475514338,0.0,nonlinear,heterogeneous,250
Horseshoe,2.68223712302499,1.92564350886259,0.0,nonlinear,heterogeneous,250
Horseshoe,2.05279068498868,1.81460831698244,0.0,nonlinear,heterogeneous,250
Horseshoe,2.41096687532435,1.85396764919298,0.0,nonlinear,heterogeneous,250
Horseshoe,1.66764248975092,1.77919047983214,0.0,nonlinear,heterogeneous,250
Horseshoe,2.48291090341211,1.85513650415561,0.0,nonlinear,heterogeneous,250
Horseshoe,1.14952932233987,1.63588833099999,0.0,nonlinear,heterogeneous,250
Horseshoe,2.01565307339752,1.58217946913843,0.0,nonlinear,heterogeneous,250
Horseshoe,2.59805294637926,1.9413579222376,0.0,nonlinear,heterogeneous,250
Horseshoe,2.79807674957775,1.71051731975529,0.0,nonlinear,heterogeneous,250
Horseshoe,2.97193173167258,1.3356109099502,0.0,nonlinear,heterogeneous,500
Horseshoe,2.59157227105299,1.22828243340741,0.0,nonlinear,heterogeneous,500
Horseshoe,2.93176501377461,1.39405461033068,0.0,nonlinear,heterogeneous,500
Horseshoe,2.11679110241399,1.36309333294632,0.0,nonlinear,heterogeneous,500
Horseshoe,2.43739553610815,1.17450504340343,0.0,nonlinear,heterogeneous,500
Horseshoe,2.90228236624061,1.34516548227011,0.0,nonlinear,heterogeneous,500
Horseshoe,3.00488346849474,1.28728459451052,0.0,nonlinear,heterogeneous,500
Horseshoe,2.05016102164562,1.31269430208719,0.0,nonlinear,heterogeneous,500
Horseshoe,1.18436303434683,1.16865373372109,0.0,nonlinear,heterogeneous,500
Horseshoe,2.4669315116248,1.28534419700942,0.0,nonlinear,heterogeneous,500
Horseshoe,1.68099576376852,1.2394025670281,0.0,nonlinear,heterogeneous,500
Horseshoe,2.59125309063903,1.31888774370106,0.0,nonlinear,heterogeneous,500
Horseshoe,2.84645518415443,1.37344204888485,0.0,nonlinear,heterogeneous,500
Horseshoe,2.74609697454444,1.39823613818201,0.0,nonlinear,heterogeneous,500
Horseshoe,2.21068280166921,1.27801409782436,0.0,nonlinear,heterogeneous,500
Horseshoe,1.92451160325683,1.15888891048158,0.0,nonlinear,heterogeneous,500
Horseshoe,3.3367450423445,1.23195104937879,0.0,nonlinear,heterogeneous,500
Horseshoe,2.6726789140659,1.27020247444553,0.0,nonlinear,heterogeneous,500
Horseshoe,2.06005303205217,1.32525844071016,0.0,nonlinear,heterogeneous,500
Horseshoe,2.16733220060512,1.37993499729046,0.0,nonlinear,heterogeneous,500
Horseshoe,2.17161500127977,1.1617492288367,0.0,nonlinear,heterogeneous,500
Horseshoe,2.63322516031356,1.22796698227204,0.0,nonlinear,heterogeneous,500
Horseshoe,1.55700885044073,1.27600920189669,0.0,nonlinear,heterogeneous,500
Horseshoe,3.2516677560374,1.35097093399627,0.0,nonlinear,heterogeneous,500
Horseshoe,2.09975457160162,1.26903514525385,0.0,nonlinear,heterogeneous,500
Horseshoe,2.6812327593982,1.31763631779996,0.0,nonlinear,heterogeneous,500
Horseshoe,2.18155580573615,1.37832404773087,0.0,nonlinear,heterogeneous,500
Horseshoe,3.18968492979781,1.34131773283763,0.0,nonlinear,heterogeneous,500
Horseshoe,2.57503266982657,1.30651294129783,0.0,nonlinear,heterogeneous,500
Horseshoe,3.14444232752487,1.39164667659424,0.0,nonlinear,heterogeneous,500
Horseshoe,2.34194375423,1.40957311554004,0.0,nonlinear,heterogeneous,500
Horseshoe,2.67564098596458,1.23251835282875,0.0,nonlinear,heterogeneous,500
Horseshoe,2.45827337593089,1.42549226250625,0.0,nonlinear,heterogeneous,500
Horseshoe,2.03185288160903,1.28018699732893,0.0,nonlinear,heterogeneous,500
Horseshoe,1.76171202414634,1.28136860873833,0.0,nonlinear,heterogeneous,500
Horseshoe,2.66326443089511,1.28224427866391,0.0,nonlinear,heterogeneous,500
Horseshoe,2.30435947463902,1.42012783970615,0.0,nonlinear,heterogeneous,500
Horseshoe,2.2863313377875,1.43282865705837,0.0,nonlinear,heterogeneous,500
Horseshoe,1.81650881666785,1.30048051463304,0.0,nonlinear,heterogeneous,500
Horseshoe,2.32303077845742,1.35715703485894,0.0,nonlinear,heterogeneous,500
Horseshoe,2.50677893645228,1.33027437997672,0.0,nonlinear,heterogeneous,500
Horseshoe,2.80247194980519,1.37799488387744,0.0,nonlinear,heterogeneous,500
Horseshoe,2.53167408644115,1.26281169781493,0.0,nonlinear,heterogeneous,500
Horseshoe,2.15267781903836,1.27493955783976,0.0,nonlinear,heterogeneous,500
Horseshoe,1.76307002648413,1.26497531336034,0.0,nonlinear,heterogeneous,500
Horseshoe,2.4409523902987,1.24690427391759,0.0,nonlinear,heterogeneous,500
Horseshoe,2.12436969610212,1.24680005142391,0.0,nonlinear,heterogeneous,500
Horseshoe,3.10032369975022,1.35607926128632,0.0,nonlinear,heterogeneous,500
Horseshoe,3.25595802939911,1.18410240304902,0.0,nonlinear,heterogeneous,500
Horseshoe,2.30226892617599,1.43833278887368,0.0,nonlinear,heterogeneous,500
Horseshoe,2.6025586115382,2.19641766777403,0.0,nonlinear,homogeneous,250
Horseshoe,2.25935263599203,2.0729908609146,0.0,nonlinear,homogeneous,250
Horseshoe,2.7832094636295,2.12916860058546,0.0,nonlinear,homogeneous,250
Horseshoe,2.35976069394502,2.27052299743675,0.0,nonlinear,homogeneous,250
Horseshoe,1.98701286696687,2.20534685921862,0.0,nonlinear,homogeneous,250
Horseshoe,2.42351280690132,2.30769833303197,0.0,nonlinear,homogeneous,250
Horseshoe,1.8595325705092,1.7338972864198,0.0,nonlinear,homogeneous,250
Horseshoe,3.99816681770773,1.91870934373574,0.0,nonlinear,homogeneous,250
Horseshoe,2.84244118042863,1.83855737917516,0.0,nonlinear,homogeneous,250
Horseshoe,1.49246218256309,2.09453717216013,0.0,nonlinear,homogeneous,250
Horseshoe,2.45931981528235,1.96189251557662,0.0,nonlinear,homogeneous,250
Horseshoe,2.72959663286456,1.76206830158695,0.0,nonlinear,homogeneous,250
Horseshoe,2.13978069790446,1.87513594145475,0.0,nonlinear,homogeneous,250
Horseshoe,2.51378439498378,2.02488344199018,0.0,nonlinear,homogeneous,250
Horseshoe,1.39429820314865,1.97142655582814,0.0,nonlinear,homogeneous,250
Horseshoe,2.12408854550947,1.9491479633423,0.0,nonlinear,homogeneous,250
Horseshoe,2.65675216309673,2.21131822650257,0.0,nonlinear,homogeneous,250
Horseshoe,2.47240092991781,1.99964481937507,0.0,nonlinear,homogeneous,250
Horseshoe,2.00605938579753,2.12376665700819,0.0,nonlinear,homogeneous,250
Horseshoe,2.31789481402233,2.04087032206655,0.0,nonlinear,homogeneous,250
Horseshoe,2.66676179331152,1.87343985131892,0.0,nonlinear,homogeneous,250
Horseshoe,3.27299677840437,2.02325589761589,0.0,nonlinear,homogeneous,250
Horseshoe,2.65449861759439,1.89219098441254,0.0,nonlinear,homogeneous,250
Horseshoe,2.13923224231388,1.80730929230223,0.0,nonlinear,homogeneous,250
Horseshoe,3.16521764398094,1.85302061035942,0.0,nonlinear,homogeneous,250
Horseshoe,1.63873987200484,2.05705352202085,0.0,nonlinear,homogeneous,250
Horseshoe,3.06425429958286,2.14971672747366,0.0,nonlinear,homogeneous,250
Horseshoe,1.80377985936269,2.22705804374858,0.0,nonlinear,homogeneous,250
Horseshoe,2.75647656755736,2.0570818623227,0.0,nonlinear,homogeneous,250
Horseshoe,3.26469658307795,1.93801460745079,0.0,nonlinear,homogeneous,250
Horseshoe,2.00122128871373,1.91751094724902,0.0,nonlinear,homogeneous,250
Horseshoe,0.740521267959835,1.91328471101271,1.0,nonlinear,homogeneous,250
Horseshoe,1.77460859793995,1.87890137046318,0.0,nonlinear,homogeneous,250
Horseshoe,2.35706060190111,2.15893628916347,0.0,nonlinear,homogeneous,250
Horseshoe,3.05550612100551,2.10934590736495,0.0,nonlinear,homogeneous,250
Horseshoe,2.50750322700666,2.02403291702705,0.0,nonlinear,homogeneous,250
Horseshoe,1.2599367238311,2.05115278614891,0.0,nonlinear,homogeneous,250
Horseshoe,1.7408342566462,1.9191168531465,0.0,nonlinear,homogeneous,250
Horseshoe,2.25919877651292,2.17675503982538,0.0,nonlinear,homogeneous,250
Horseshoe,2.92297065734815,2.23324273682212,0.0,nonlinear,homogeneous,250
Horseshoe,3.15808473677583,1.93063031996036,0.0,nonlinear,homogeneous,250
Horseshoe,2.49566759884766,2.07121050592579,0.0,nonlinear,homogeneous,250
Horseshoe,1.99299103337522,2.00089946799287,0.0,nonlinear,homogeneous,250
Horseshoe,2.25981772099596,2.00358031778229,0.0,nonlinear,homogeneous,250
Horseshoe,1.7218133587038,1.83778635827988,0.0,nonlinear,homogeneous,250
Horseshoe,2.5862541666523,1.98702181641154,0.0,nonlinear,homogeneous,250
Horseshoe,0.798165086807323,1.86744967311448,1.0,nonlinear,homogeneous,250
Horseshoe,1.9554431570108,1.74140061052309,0.0,nonlinear,homogeneous,250
Horseshoe,2.66904126246187,2.01244964871276,0.0,nonlinear,homogeneous,250
Horseshoe,2.86565873844193,1.78298782796228,0.0,nonlinear,homogeneous,250
Horseshoe,2.84641182261242,1.45019124817038,0.0,nonlinear,homogeneous,500
Horseshoe,2.53088008808758,1.3291433231212,0.0,nonlinear,homogeneous,500
Horseshoe,2.80786978869996,1.4651165498798,0.0,nonlinear,homogeneous,500
Horseshoe,2.03679050859944,1.47615538469892,0.0,nonlinear,homogeneous,500
Horseshoe,2.32537112749768,1.22642028537474,0.0,nonlinear,homogeneous,500
Horseshoe,2.71020626393882,1.44061556089798,0.0,nonlinear,homogeneous,500
Horseshoe,3.14116295200174,1.37806235970884,0.0,nonlinear,homogeneous,500
Horseshoe,1.96094730724151,1.41231948347036,0.0,nonlinear,homogeneous,500
Horseshoe,0.967296683346309,1.24573845732856,0.0,nonlinear,homogeneous,500
Horseshoe,2.41085876537366,1.38644029411804,0.0,nonlinear,homogeneous,500
Horseshoe,1.71856132034073,1.31375255344228,0.0,nonlinear,homogeneous,500
Horseshoe,2.39318705023791,1.4155593967873,0.0,nonlinear,homogeneous,500
Horseshoe,2.71150724989708,1.43854613285195,0.0,nonlinear,homogeneous,500
Horseshoe,2.73174955238578,1.46515662500455,0.0,nonlinear,homogeneous,500
Horseshoe,2.31841182449594,1.3613896690684,0.0,nonlinear,homogeneous,500
Horseshoe,1.81548970270507,1.25941260091502,0.0,nonlinear,homogeneous,500
Horseshoe,3.14065620083063,1.30252413074255,0.0,nonlinear,homogeneous,500
Horseshoe,2.59757653158088,1.37047973246444,0.0,nonlinear,homogeneous,500
Horseshoe,1.93632469594094,1.37226485858587,0.0,nonlinear,homogeneous,500
Horseshoe,1.82796222481003,1.40720249355665,0.0,nonlinear,homogeneous,500
Horseshoe,2.06739902504047,1.26797727284421,0.0,nonlinear,homogeneous,500
Horseshoe,2.57328237720185,1.33744879946153,0.0,nonlinear,homogeneous,500
Horseshoe,1.48062428055852,1.35037593978988,0.0,nonlinear,homogeneous,500
Horseshoe,3.02225481350187,1.47943295314133,0.0,nonlinear,homogeneous,500
Horseshoe,1.81720135343802,1.37966238862113,0.0,nonlinear,homogeneous,500
Horseshoe,2.56841931198955,1.38145124363659,0.0,nonlinear,homogeneous,500
Horseshoe,2.08556345084489,1.49992113132318,0.0,nonlinear,homogeneous,500
Horseshoe,3.13506547606225,1.44753190961086,0.0,nonlinear,homogeneous,500
Horseshoe,2.42159241113744,1.4293160672763,0.0,nonlinear,homogeneous,500
Horseshoe,3.05137747186784,1.51723045711581,0.0,nonlinear,homogeneous,500
Horseshoe,2.24861390300423,1.50738853791989,0.0,nonlinear,homogeneous,500
Horseshoe,2.82661459875007,1.33612475279249,0.0,nonlinear,homogeneous,500
Horseshoe,2.28447014052108,1.50717740793106,0.0,nonlinear,homogeneous,500
Horseshoe,1.85769812391085,1.35295398875761,0.0,nonlinear,homogeneous,500
Horseshoe,1.64475559820214,1.40054152313263,0.0,nonlinear,homogeneous,500
Horseshoe,2.53046442658788,1.395771078636,0.0,nonlinear,homogeneous,500
Horseshoe,2.16249972410961,1.50788151634335,0.0,nonlinear,homogeneous,500
Horseshoe,2.20602093747506,1.55007905544127,0.0,nonlinear,homogeneous,500
Horseshoe,1.76571364755573,1.42354820990694,0.0,nonlinear,homogeneous,500
Horseshoe,2.16940594034719,1.44650951916648,0.0,nonlinear,homogeneous,500
Horseshoe,2.45292633034365,1.42343078041884,0.0,nonlinear,homogeneous,500
Horseshoe,2.69970585953504,1.45859776979619,0.0,nonlinear,homogeneous,500
Horseshoe,2.3068090365008,1.3513829280781,0.0,nonlinear,homogeneous,500
Horseshoe,1.91342641237669,1.3663593133128,0.0,nonlinear,homogeneous,500
Horseshoe,1.42201571231669,1.37430444239537,0.0,nonlinear,homogeneous,500
Horseshoe,2.32544856481125,1.30377880989031,0.0,nonlinear,homogeneous,500
Horseshoe,2.01183876591175,1.34663469950831,0.0,nonlinear,homogeneous,500
Horseshoe,2.90767743275141,1.40667242680849,0.0,nonlinear,homogeneous,500
Horseshoe,3.27943123592167,1.24673741235179,0.0,nonlinear,homogeneous,500
Horseshoe,2.19496405008907,1.55185759570229,0.0,nonlinear,homogeneous,500
BART,0.215830853157052,0.699974513754232,0.992,nonlinear,homogeneous,250
BART,0.330306207665813,0.880927859677034,0.992,nonlinear,homogeneous,250
BART,0.290148046151352,0.735419036340024,1.0,nonlinear,homogeneous,250
BART,0.341946255046135,0.671922689906093,0.976,nonlinear,homogeneous,250
BART,0.21989639002535,0.767562009280791,1.0,nonlinear,homogeneous,250
BART,0.339548912408259,0.761837298424322,0.98,nonlinear,homogeneous,250
BART,0.576771961562529,0.784231271229673,0.844,nonlinear,homogeneous,250
BART,0.427677793845653,0.841768364238348,0.996,nonlinear,homogeneous,250
BART,0.212101108271178,0.809732063330062,1.0,nonlinear,homogeneous,250
BART,0.180860398599848,0.665074498239582,0.952,nonlinear,homogeneous,250
BART,0.201013678822452,0.703477555734071,1.0,nonlinear,homogeneous,250
BART,0.235926891632979,0.66894600073823,1.0,nonlinear,homogeneous,250
BART,0.229964577787222,0.839531275765288,1.0,nonlinear,homogeneous,250
BART,0.4508005492107,0.722849163338799,0.96,nonlinear,homogeneous,250
BART,0.349402976443536,0.911489188066458,1.0,nonlinear,homogeneous,250
BART,0.513859002545107,0.723839168473025,0.896,nonlinear,homogeneous,250
BART,0.201127648918543,0.71005123427796,1.0,nonlinear,homogeneous,250
BART,0.248470753923675,0.729414153839143,1.0,nonlinear,homogeneous,250
BART,0.213193204332841,0.768386772791662,1.0,nonlinear,homogeneous,250
BART,0.220904931018992,0.737900933791777,0.988,nonlinear,homogeneous,250
BART,0.211171993875774,0.813859673719674,1.0,nonlinear,homogeneous,250
BART,0.410817319535018,0.792655533805192,1.0,nonlinear,homogeneous,250
BART,0.242327542999865,0.68331433891512,0.992,nonlinear,homogeneous,250
BART,0.283025993042131,0.77420535636807,1.0,nonlinear,homogeneous,250
BART,0.349374490531451,0.725064230548038,0.996,nonlinear,homogeneous,250
BART,0.329289156109668,0.741837610842452,0.992,nonlinear,homogeneous,250
BART,0.372754651851846,0.653400496494201,1.0,nonlinear,homogeneous,250
BART,0.266010478645029,0.811574070524651,0.992,nonlinear,homogeneous,250
BART,0.235674834174259,0.810261626463034,1.0,nonlinear,homogeneous,250
BART,0.221604159653606,0.743908111103946,1.0,nonlinear,homogeneous,250
BART,0.188879448684382,0.728190186201473,1.0,nonlinear,homogeneous,250
BART,0.270694224302172,0.808190261512657,0.924,nonlinear,homogeneous,250
BART,0.190979393309942,0.746204365493389,1.0,nonlinear,homogeneous,250
BART,0.229416300364062,0.85389748976719,0.996,nonlinear,homogeneous,250
BART,0.289636615028528,0.720970785342959,0.956,nonlinear,homogeneous,250
BART,0.262647261584462,0.766530022449858,1.0,nonlinear,homogeneous,250
BART,0.311399003759587,0.836761699481403,0.996,nonlinear,homogeneous,250
BART,0.209652031398934,0.843766731636523,1.0,nonlinear,homogeneous,250
BART,0.644135987274742,0.797648674967407,0.856,nonlinear,homogeneous,250
BART,0.293871372306706,0.713486744282407,0.928,nonlinear,homogeneous,250
BART,0.212749722429511,0.811143686220302,1.0,nonlinear,homogeneous,250
BART,0.30856415731946,0.781311751203882,1.0,nonlinear,homogeneous,250
BART,0.202268702663577,0.79550306696445,1.0,nonlinear,homogeneous,250
BART,0.284574179737254,0.768103212848555,0.996,nonlinear,homogeneous,250
BART,0.204207080072836,0.842975492530682,1.0,nonlinear,homogeneous,250
BART,0.210500476959808,0.83762194426663,1.0,nonlinear,homogeneous,250
BART,0.392307519537357,0.699038588191675,0.976,nonlinear,homogeneous,250
BART,0.289609785742738,0.767262120465435,0.996,nonlinear,homogeneous,250
BART,0.33444132687528,0.750463482001291,0.92,nonlinear,homogeneous,250
BART,0.227051734444802,0.851299688830522,1.0,nonlinear,homogeneous,250
BART,0.199607320064131,0.73953549417773,1.0,linear,homogeneous,250
BART,0.341315986442455,0.805650588609241,1.0,linear,homogeneous,250
BART,0.203208550712861,0.787131348492599,1.0,linear,homogeneous,250
BART,0.234718580041318,0.734994447714606,1.0,linear,homogeneous,250
BART,0.203897332564167,0.806894367663848,0.984,linear,homogeneous,250
BART,0.466015206735024,0.864232191836444,0.996,linear,homogeneous,250
BART,0.419093426422359,0.798671385903489,0.98,linear,homogeneous,250
BART,0.310859469899288,0.896240776151687,1.0,linear,homogeneous,250
BART,0.245740009401597,0.904460870766786,0.96,linear,homogeneous,250
BART,0.273789655330438,0.753555752355405,1.0,linear,homogeneous,250
BART,0.397090389636527,0.773841710172462,0.972,linear,homogeneous,250
BART,0.421381238708191,0.640487281985258,0.96,linear,homogeneous,250
BART,0.227596804651646,0.709035215754652,1.0,linear,homogeneous,250
BART,0.560222460868816,0.719234920639913,0.888,linear,homogeneous,250
BART,0.262966669438955,0.879449256535542,1.0,linear,homogeneous,250
BART,0.284625783027043,0.803899901717811,1.0,linear,homogeneous,250
BART,0.320470686392629,0.702013161792908,0.964,linear,homogeneous,250
BART,0.255663040727714,0.700492161888011,1.0,linear,homogeneous,250
BART,0.379539231751554,0.74462364410799,1.0,linear,homogeneous,250
BART,0.272444249493621,0.827233290904561,0.996,linear,homogeneous,250
BART,0.251119293252382,0.901262299434652,0.988,linear,homogeneous,250
BART,0.205184077710807,0.783626294845235,1.0,linear,homogeneous,250
BART,0.380121091100176,0.696429803562047,1.0,linear,homogeneous,250
BART,0.297415054992793,0.836583412666347,0.908,linear,homogeneous,250
BART,0.443840554360384,0.831209387856049,0.948,linear,homogeneous,250
BART,0.261505985627387,0.757712558893266,1.0,linear,homogeneous,250
BART,0.26434300763924,0.771769595401161,0.996,linear,homogeneous,250
BART,0.320630300639346,0.758132661132884,0.992,linear,homogeneous,250
BART,0.209639487867701,0.779382654004031,1.0,linear,homogeneous,250
BART,0.210925477193783,0.759220088992429,1.0,linear,homogeneous,250
BART,0.225798515917397,0.793285750791731,1.0,linear,homogeneous,250
BART,0.289062173544282,0.837767464012985,0.964,linear,homogeneous,250
BART,0.192812623277546,0.736333479032556,1.0,linear,homogeneous,250
BART,0.266353091248688,1.00847854481765,1.0,linear,homogeneous,250
BART,0.300623185823846,0.679500963098486,1.0,linear,homogeneous,250
BART,0.361804199977856,0.769332214570466,1.0,linear,homogeneous,250
BART,0.267306909585221,0.77140141463786,1.0,linear,homogeneous,250
BART,0.316751275705259,0.772470736661309,0.884,linear,homogeneous,250
BART,0.277886401516723,0.926298821187367,1.0,linear,homogeneous,250
BART,0.20230831062199,0.714635739663755,1.0,linear,homogeneous,250
BART,0.345468675272924,0.73348925080462,1.0,linear,homogeneous,250
BART,0.230097877367405,0.822025931662846,1.0,linear,homogeneous,250
BART,0.364442542454831,0.892596621843686,0.92,linear,homogeneous,250
BART,0.365339870675179,0.774778867215554,0.968,linear,homogeneous,250
BART,0.316538483963582,0.890861474540042,1.0,linear,homogeneous,250
BART,0.39547066359753,0.895917780814825,1.0,linear,homogeneous,250
BART,0.579133276118395,0.762831596394606,1.0,linear,homogeneous,250
BART,0.194936538400012,0.721222511643383,1.0,linear,homogeneous,250
BART,0.342882782516216,0.759543515117115,1.0,linear,homogeneous,250
BART,0.270718056912131,0.890037069892293,1.0,linear,homogeneous,250
BART,0.218710735003154,0.880539155156181,0.824,nonlinear,heterogeneous,250
BART,0.295704713515061,0.892024299754683,0.788,nonlinear,heterogeneous,250
BART,0.48127470172511,0.864615429439138,0.928,nonlinear,heterogeneous,250
BART,0.429135408634933,0.76790409604306,0.848,nonlinear,heterogeneous,250
BART,0.386092575908903,0.96621777087466,0.916,nonlinear,heterogeneous,250
BART,0.550808822016254,0.929930787160978,0.876,nonlinear,heterogeneous,250
BART,0.475257114088987,0.834554104321091,0.768,nonlinear,heterogeneous,250
BART,0.353528521111858,0.964001020739283,0.94,nonlinear,heterogeneous,250
BART,0.220154735244416,0.831959601801029,0.924,nonlinear,heterogeneous,250
BART,0.275668401951834,0.906386612821697,0.884,nonlinear,heterogeneous,250
BART,0.266787604092387,0.808339715532753,0.984,nonlinear,heterogeneous,250
BART,0.282498220771235,0.797148752002856,0.872,nonlinear,heterogeneous,250
BART,0.230333883361665,0.829661709038043,0.92,nonlinear,heterogeneous,250
BART,0.533256387868188,0.92015292536408,0.892,nonlinear,heterogeneous,250
BART,0.280223547993245,1.08631350707083,0.952,nonlinear,heterogeneous,250
BART,0.395852875790074,0.834089708696671,0.904,nonlinear,heterogeneous,250
BART,0.240110956206376,0.892896472207979,0.936,nonlinear,heterogeneous,250
BART,0.283033075410962,0.823234658196956,0.928,nonlinear,heterogeneous,250
BART,0.2403421052637,0.930606040463571,0.872,nonlinear,heterogeneous,250
BART,0.217817632323611,0.780659878965636,0.884,nonlinear,heterogeneous,250
BART,0.281372342840868,0.861201373383318,0.94,nonlinear,heterogeneous,250
BART,0.462731753204588,0.769421739566618,0.852,nonlinear,heterogeneous,250
BART,0.342726179562006,0.849232452737918,0.912,nonlinear,heterogeneous,250
BART,0.292019200733881,0.835992826448284,0.944,nonlinear,heterogeneous,250
BART,0.39003732147076,0.683292516333215,0.828,nonlinear,heterogeneous,250
BART,0.325485938132764,0.879464927679122,0.868,nonlinear,heterogeneous,250
BART,0.367885075249255,0.739837864665854,0.944,nonlinear,heterogeneous,250
BART,0.297746233044923,0.975673453574513,0.916,nonlinear,heterogeneous,250
BART,0.238606389520261,0.880554283424508,0.912,nonlinear,heterogeneous,250
BART,0.229943460807764,0.884969699982816,0.884,nonlinear,heterogeneous,250
BART,0.219341012385101,0.842957379667779,0.904,nonlinear,heterogeneous,250
BART,0.262847033771404,0.984628747654109,0.888,nonlinear,heterogeneous,250
BART,0.254497342175167,0.857651763289085,0.88,nonlinear,heterogeneous,250
BART,0.31130622162929,0.847508283089541,0.912,nonlinear,heterogeneous,250
BART,0.389558960611038,0.807863930068556,0.928,nonlinear,heterogeneous,250
BART,0.238404572154948,0.873878329855244,0.864,nonlinear,heterogeneous,250
BART,0.379741762246829,0.955331615703779,0.92,nonlinear,heterogeneous,250
BART,0.254582025576337,0.96112817618196,0.952,nonlinear,heterogeneous,250
BART,0.679024549967194,0.964527572806353,0.908,nonlinear,heterogeneous,250
BART,0.365961484303958,0.867834602288829,0.86,nonlinear,heterogeneous,250
BART,0.240226732286872,0.89438000160524,0.964,nonlinear,heterogeneous,250
BART,0.28127517526069,0.868902051191134,0.884,nonlinear,heterogeneous,250
BART,0.292020741559851,0.801453659418716,0.912,nonlinear,heterogeneous,250
BART,0.359496098652158,0.902433585312463,0.924,nonlinear,heterogeneous,250
BART,0.285030125577869,0.930353617871945,0.896,nonlinear,heterogeneous,250
BART,0.330985147272587,0.960296676885051,0.9,nonlinear,heterogeneous,250
BART,0.495221849691573,0.749556678371461,0.9,nonlinear,heterogeneous,250
BART,0.342397154272645,0.879265801961251,0.892,nonlinear,heterogeneous,250
BART,0.42805667713328,0.830553439758356,0.892,nonlinear,heterogeneous,250
BART,0.284289258484833,1.07276811268754,0.98,nonlinear,heterogeneous,250
BART,0.219274304429776,0.822296423088542,0.876,linear,heterogeneous,250
BART,0.345010956482531,0.993018973696751,0.804,linear,heterogeneous,250
BART,0.370543116182149,0.907480669129016,0.856,linear,heterogeneous,250
BART,0.251757033361358,0.879700766487856,0.912,linear,heterogeneous,250
BART,0.482125916439675,0.996693515834099,0.696,linear,heterogeneous,250
BART,0.557135996009711,0.971617374148273,0.812,linear,heterogeneous,250
BART,0.40034126574057,0.919415703246863,0.716,linear,heterogeneous,250
BART,0.442730083807163,1.04468685055353,0.776,linear,heterogeneous,250
BART,0.320502133132553,1.11116196080398,0.74,linear,heterogeneous,250
BART,0.489606394075289,0.845967043224166,0.716,linear,heterogeneous,250
BART,0.369241496400227,0.913539323720367,0.912,linear,heterogeneous,250
